GASSID,nComps,Qlty,Problems,Notes
GASS111007,2,B,"C,S,B,D,I","Large galaxy, Diffuse spiral arms, Clumpy"
GASS111056,?,B,"C,S,D",Ring
GASS49386,3,B,"C,D",Edge on
GASS111028,2,B,C,
GASS112065,2,B,C,
GASS112090,2,B,"C,S,I",Large galaxy
GASS18138,1,G,"C,D",Edge on
GASS18185,1,G,S,
GASS112072,2,B,"C,S",
GASS112106,1,O,"C,S,B",Bright nearby object
GASS112014,2,O,C,
GASS49727,1,O,"C,S,D",Embedded object
GASS18131,1,O,C,
GASS112027,2,O,"C,S,D","Edge on, Diffuse spiral arms"
GASS18225,2,O,"C,S,B",Bright nearby object
GASS18220,2,B,C,
GASS18202,2,O,"C,S",Embedded object
GASS112088,2,B,"C,S,B,I","Large galaxy, Embedded object"
GASS112019,2,B,C,
GASS112117,2,B,C,Embedded object
GASS24149,2,O,"C,S",Diffuse spiral arms
GASS30192,2,B,"C,S,B",Bright nearby object
GASS112058,3,B,"C,S",Diffuse spiral arms
GASS30175,3,B,"C,S",
GASS24168,2,B,"C,D",Edge on
GASS24736,2,B,C,
GASS24740,1,G,-,
GASS24183,2,O,"C,S",
GASS112113,1,O,"C,S,D",Diffuse spiral arms
GASS112100,3,O,"B,S","Diffuse spiral arms, Embedded object"
GASS18335,3,O,C,
GASS112078,2,B,"C,S",Clumpy
GASS18421,3,O,C,
GASS18279,1,O,"C,S",
GASS24094,2,B,"C,S,B",Bright nearby source
GASS24757,2,B,C,Diffuse spiral arms
GASS18422,2,O,C,
GASS30338,2,B,"C,D",Edge on
GASS28057,2,B,C,
GASS112112,1,G,"C,D","Edge on, Clumpy"
GASS6375,3,B,C,
GASS28062,2,B,C,
GASS18482,2,O,C,
GASS112044,2,O,C,
GASS18469,2,B,C,
GASS50404,2,O,C,
GASS30439,3,B,C,Large galaxy
GASS18581,1,O,"C,S,B","Large galaxy, Bright nearby object, Diffuse spiral arms"
GASS30401,2,O,C,Diffuse spiral arms
GASS12967,3,O,"C,S,B","Large galaxy, Diffuse spiral arms"
GASS12970,2,B,"C,S",Large galaxy
GASS24426,2,B,"C,S",Diffuse spiral arms
GASS18576,3,O,"C,S",
GASS12966,2,B,"C,S",
GASS50406,2,B,"C,S",
GASS30479,2,O,C,
GASS28143,3,O,"C,S",Diffuse spiral arms
GASS112038,2,B,"C,D",Offset bulge
GASS30471,2,B,"C,S",Large galaxy
GASS112051,1,G,"C,B",Bright nearby source
GASS112109,2,B,"C,S,I",Large galaxy
GASS24366,2,B,"C,S",Embedded source
GASS24436,2,B,"C,S",Embedded source
GASS24437,1,O,"C,D",Edge on
GASS12983,2,B,"C,B",Bright nearby source
GASS28168,1,O,"C,S",Diffuse spiral arms
GASS112053,2,B,"C,S,I","Large galaxy, Diffuse spiral arms, Embedded object"
GASS50550,2,B,C,
GASS112080,3,B,"C,S",Embedded source
GASS28482,2,B,"C,S",
GASS6506,2,B,C,
GASS13037,1,G,"C,S",Group
GASS112081,1,O,"C,S,B,D,I","Large galaxy, Bright nearby object, Edge on"
GASS112054,1,G,"C,B",Bright nearby object
GASS28462,3,G,"C,B",Bright nearby object
GASS28461,1,G,"C,S,B,I",Large galaxy
GASS40393,3,O,C,
GASS112050,2,B,"C,S,D","Interacting, Diffuse spiral arms"
GASS6565,1,G,"C,S",
GASS112089,1,G,"C,B",Bright nearby object
GASS6583,1,G,"C,S,B",Large galaxy
GASS26822,2,B,"C,S",
GASS13074,2,B,C,
GASS112016,2,O,"C,S",
GASS50856,2,O,"C,D",Edge on
GASS112116,1,B,"C,D",Clumpy
GASS50866,3,O,"C,S",Embedded object
GASS40495,1,G,"C,S",Group
GASS35497,3,B,"C,D",Large galaxy
GASS28551,2,B,"C,D",Edge on
GASS40494,2,B,"C,S",
GASS112004,1,O,C,
GASS40502,1,O,"C,S",Embedded object
GASS112003,3,B,"C,S","Canonical, Embedded object"
GASS112002,1,G,S,
GASS112017,2,O,"C,S",Group
GASS112012,2,O,"C,S",
GASS112006,2,B,"C,S",Group
GASS28526,3,B,C,
GASS112060,2,O,C,
GASS112035,2,O,"C,D","Diffuse spiral arms, Offset bulge"
GASS112084,2,B,"C,S",Embedded object
GASS40500,1,O,"C,S",Embedded object
GASS30508,1,G,"C,S",
GASS35475,1,O,C,
GASS30532,2,B,"C,D",Edge on
GASS112011,1,O,"C,S",Embedded object
GASS13227,2,B,"C,S,B,I",Large galaxy
GASS113040,2,O,"C,S,D",Group
GASS113032,2,B,C,
GASS113060,2,O,"C,S",Embedded object
GASS113047,3,B,"C,S",Embedded object
GASS113100,2,B,"C,D",Edge on
GASS113051,1,G,"C,S,B",
GASS113004,1,G,"C,S",
GASS35437,2,B,"C,S",Group
GASS6679,2,B,"C,S",
GASS113078,2,B,C,
GASS113025,1,G,"C,S",Group
GASS25167,2,B,"C,S",Embedded object
GASS113049,2,O,"C,S",
GASS40425,1,O,C,Clumpy
GASS113052,2,B,"C,S",Embedded object
GASS113001,2,B,"C,S",Diffuse spiral arms
GASS40439,2,B,"C,S,B,D,I","Large galaxy, Diffuse spiral arms"
GASS13156,2,B,"C,D",Edge on
GASS13158,2,B,"C,S",Diffuse spiral arms
GASS25154,1,G,"C,S",Large galaxy
GASS13159,1,G,"C,S",
GASS113137,1,O,C,
GASS113114,?,B,"C,D,I","Large galaxy, Clumpy"
GASS6749,2,B,"C,S,I","Large galaxy, Embedded object"
GASS113126,2,B,"C,S",
GASS25215,2,B,"C,B",Bright nearby object
GASS113022,2,B,"C,S,B,D,I","Large galaxy, Diffuse spiral arms, Clumpy"
GASS40570,2,B,"C,S,B,I",Large galaxy
GASS113141,3,B,"C,S",Embedded object
GASS40566,2,O,"C,S,B,I","Large galaxy, Diffuse spiral arms, Embedded object"
GASS25213,2,B,"C,B",Bright nearby object
GASS25214,1,O,"S,B,I",Large galaxy
GASS113098,1,O,"C,S,D",Edge on
GASS25236,2,B,"C,S",
GASS25202,2,B,"C,S",Embedded object
GASS26936,2,B,"C,S",
GASS26911,1,G,"C,S",Large galaxy
GASS51025,2,B,C,
GASS51094,2,B,"C,S","Large galaxy, Diffuse spiral arms"
GASS40781,2,B,C,
GASS113000,2,B,C,
GASS40790,1,G,"C,S",Large galaxy
GASS113110,2,O,"C,D",Edge on
GASS113056,2,O,"C,S",Embedded object
GASS44354,3,B,"C,S",
GASS113115,1,G,-,Clumpy
GASS113062,2,O,"C,S",Embedded object
GASS113124,1,B,S,Clumpy
GASS51150,2,B,"C,S",Diffuse spiral arms
GASS113024,2,B,"C,S",Diffuse spiral arms
GASS25296,2,O,"C,S",
GASS113038,2,B,C,
GASS51161,3,B,C,
GASS34531,1,O,"C,S",
GASS25448,2,B,"C,S,B","Embedded object, Diffuse spiral arms"
GASS25347,1,O,"C,S",
GASS40024,1,O,"C,S",Group
